-0.775688+0.845079i	0.232322-0.269526i	-0.603955-0.655508i
-0.080323-1.144290i	0.209819+0.287392i	-0.500473-0.737549i
0.886140+0.728427i	-0.327486+0.139179i	-0.386005-0.803401i
-1.138203+0.142633i	-0.061287-0.350517i	-0.263063-0.851616i
0.678997-0.924561i	0.355283+0.019798i	-0.134346-0.881137i
0.204518+1.128726i	-0.099852+0.341537i	-0.002681-0.891316i
-0.960229-0.627544i	-0.309995-0.174703i	0.129043-0.881930i
1.115887-0.265794i	0.240451-0.262301i	0.257935-0.853183i
0.105088-0.937601i	-1.168604+1.046621i	-0.206025-0.092532i
0.406544+0.851388i	-1.405619+0.696627i	-0.213710+0.073052i
-0.795227-0.507694i	-1.540585+0.296057i	-0.106274+0.199284i
0.943414+0.010461i	-1.563706-0.126006i	0.058409+0.218167i
-0.806289+0.489936i	-1.473301-0.538922i	0.191628+0.119528i
0.425322-0.842164i	-1.275935-0.912711i	0.221622-0.043498i
0.084273+0.939701i	-0.985937-1.220238i	0.132233-0.183092i
-0.568381-0.753049i	-0.624359-1.439176i	-0.028387-0.224059i
-0.802370+0.285743i	-0.037744-0.764860i	0.314371-0.180428i
-0.702771+0.481206i	0.761999+0.076106i	0.198156+0.303509i
-0.556551+0.644747i	-0.188273+0.742286i	-0.291649+0.215232i
-0.373409+0.765515i	-0.706155-0.296277i	-0.231600-0.278828i
-0.165495+0.835499i	0.397727-0.654407i	0.265091-0.247205i
0.053398+0.850056i	0.588185+0.490381i	0.261998+0.250481i
0.268748+0.808221i	-0.572189+0.508954i	-0.235047+0.275928i
0.466269+0.712769i	-0.418467-0.641343i	-0.288951-0.218840i
0.643001-0.574023i	-0.819407+0.486857i	0.020440+0.455476i
0.006116+0.861926i	-0.943325-0.136366i	0.414810-0.189232i
-0.651083-0.564840i	-0.647985-0.698980i	-0.330583-0.313992i
0.854160-0.115602i	-0.064649-0.950935i	-0.167642+0.423996i
-0.477520+0.717585i	0.547419-0.780250i	0.455925-0.003018i
-0.223212-0.832544i	0.916189-0.262784i	-0.173241-0.421739i
0.772451+0.382457i	0.877761+0.371475i	-0.326397+0.318341i
-0.797428+0.327203i	0.449214+0.840633i	0.417279+0.183724i
0.046150-0.667709i	1.116806-0.210128i	-0.020345+0.218176i
0.614933-0.264239i	-0.215570+1.115768i	-0.154816-0.155069i
0.516157+0.426083i	-0.958158-0.611018i	0.218209-0.019988i
-0.142949+0.653858i	0.920723-0.666092i	-0.124067+0.180616i
-0.646872+0.171817i	0.280555+1.101226i	-0.059645-0.210848i
-0.448563-0.496745i	-1.127197-0.144351i	0.200296+0.088860i
